race_id,race_name,race_date,year,round,position,points,wins,pre_race_price,post_race_price,price_change_pct,pre_window,post_window
1100,Australian Grand Prix,2023-04-02,2023,3.0,4.0,26.0,0,"Ticker
RACE    264.621997
dtype: float64","Ticker
RACE    267.790698
dtype: float64","Ticker
RACE    1.197444
dtype: float64",5,5
1101,Azerbaijan Grand Prix,2023-04-30,2023,4.0,4.0,62.0,0,"Ticker
RACE    276.166919
dtype: float64","Ticker
RACE    282.420819
dtype: float64","Ticker
RACE    2.264536
dtype: float64",5,5
1102,Miami Grand Prix,2023-05-07,2023,5.0,4.0,78.0,0,"Ticker
RACE    282.420819
dtype: float64","Ticker
RACE    292.766455
dtype: float64","Ticker
RACE    3.663199
dtype: float64",5,5
1104,Monaco Grand Prix,2023-05-28,2023,6.0,4.0,90.0,0,"Ticker
RACE    289.294733
dtype: float64","Ticker
RACE    290.566571
dtype: float64","Ticker
RACE    0.439634
dtype: float64",5,5
1105,Spanish Grand Prix,2023-06-04,2023,7.0,4.0,100.0,0,"Ticker
RACE    289.439801
dtype: float64","Ticker
RACE    294.932568
dtype: float64","Ticker
RACE    1.897724
dtype: float64",5,5
1106,Canadian Grand Prix,2023-06-18,2023,8.0,4.0,122.0,0,"Ticker
RACE    301.587885
dtype: float64","Ticker
RACE    305.194751
dtype: float64","Ticker
RACE    1.195959
dtype: float64",5,5
1107,Austrian Grand Prix,2023-07-02,2023,9.0,4.0,154.0,0,"Ticker
RACE    314.864746
dtype: float64","Ticker
RACE    316.408844
dtype: float64","Ticker
RACE    0.4904
dtype: float64",5,5
1108,British Grand Prix,2023-07-09,2023,10.0,4.0,157.0,0,"Ticker
RACE    317.784021
dtype: float64","Ticker
RACE    320.24624
dtype: float64","Ticker
RACE    0.774809
dtype: float64",5,5
1109,Hungarian Grand Prix,2023-07-23,2023,11.0,4.0,167.0,0,"Ticker
RACE    320.502594
dtype: float64","Ticker
RACE    315.91601
dtype: float64","Ticker
RACE   -1.43106
dtype: float64",5,5
1110,Belgian Grand Prix,2023-07-30,2023,12.0,4.0,191.0,0,"Ticker
RACE    315.91601
dtype: float64","Ticker
RACE    313.425977
dtype: float64","Ticker
RACE   -0.788195
dtype: float64",5,5
1111,Dutch Grand Prix,2023-08-27,2023,13.0,4.0,201.0,0,"Ticker
RACE    308.841376
dtype: float64","Ticker
RACE    314.036053
dtype: float64","Ticker
RACE    1.681989
dtype: float64",5,5
1112,Italian Grand Prix,2023-09-03,2023,14.0,3.0,228.0,0,"Ticker
RACE    314.036053
dtype: float64","Ticker
RACE    299.348254
dtype: float64","Ticker
RACE   -4.677106
dtype: float64",5,5
1113,Singapore Grand Prix,2023-09-17,2023,15.0,3.0,265.0,1,"Ticker
RACE    298.779895
dtype: float64","Ticker
RACE    294.415881
dtype: float64","Ticker
RACE   -1.460612
dtype: float64",5,5
1114,Japanese Grand Prix,2023-09-24,2023,16.0,3.0,285.0,1,"Ticker
RACE    294.415881
dtype: float64","Ticker
RACE    288.43822
dtype: float64","Ticker
RACE   -2.030346
dtype: float64",5,5
1115,Qatar Grand Prix,2023-10-08,2023,17.0,3.0,298.0,1,"Ticker
RACE    297.309332
dtype: float64","Ticker
RACE    305.367657
dtype: float64","Ticker
RACE    2.710418
dtype: float64",5,5
1116,United States Grand Prix,2023-10-22,2023,18.0,3.0,322.0,1,"Ticker
RACE    304.286591
dtype: float64","Ticker
RACE    297.873706
dtype: float64","Ticker
RACE   -2.107515
dtype: float64",5,5
1117,Mexico City Grand Prix,2023-10-29,2023,19.0,3.0,349.0,1,"Ticker
RACE    297.873706
dtype: float64","Ticker
RACE    310.178809
dtype: float64","Ticker
RACE    4.13098
dtype: float64",5,5
1118,São Paulo Grand Prix,2023-11-05,2023,20.0,3.0,362.0,1,"Ticker
RACE    310.178809
dtype: float64","Ticker
RACE    333.767529
dtype: float64","Ticker
RACE    7.604878
dtype: float64",5,5
1119,Las Vegas Grand Prix,2023-11-19,2023,21.0,3.0,388.0,1,"Ticker
RACE    349.768903
dtype: float64","Ticker
RACE    363.023901
dtype: float64","Ticker
RACE    3.789645
dtype: float64",5,5
1120,Abu Dhabi Grand Prix,2023-11-26,2023,22.0,3.0,406.0,1,"Ticker
RACE    360.973053
dtype: float64","Ticker
RACE    361.740131
dtype: float64","Ticker
RACE    0.212503
dtype: float64",5,5
